id,name,light_years,planet_mass,ST,dS
0,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
3,14 Herculis b,58,8.053 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,9.207 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.883 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
24,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
25,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
26,CT Chamaleontis b,622,17 Jupiters,12.335,2007
27,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
28,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
29,DH Tauri b,440,11 Jupiters,13.98,2004
30,DMPP-1 b,204,24.27 Earths,7.98,2019
31,DMPP-1 c,204,9.6 Earths,7.98,2019
32,DMPP-1 d,204,3.35 Earths,7.98,2019
33,DMPP-1 e,204,4.13 Earths,7.98,2019
34,DMPP-2 b,450,0.437 Jupiters,8.57,2019
35,DMPP-3 A b,148,2.58 Earths,9.066,2019
36,DMPP-4 b,83,12.2 Earths,5.72936,2023
37,DP Leonis b,997,6.28 Jupiters,18.6837,2009
38,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
39,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
40,EPIC 201238110 b,520,4.16 Earths,16.014,2019
